role,allowConditions,domain,entity,action
admin,(false),voicebots,*,*
admin,(false),webDeployments,configuration,*
admin,(false),billing,subscription,add
admin,(false),billing,subscription,view
admin,(false),webchat,deployment,*
admin,(false),wfm,schedulingrequest,add
admin,(false),wfm,schedulingrequest,view
admin,(false),webDeployments,deployment,*
admin,(false),presence,userPrimarySource,view
admin,(false),presence,userPrimarySource,edit
admin,(false),geolocation,settings,edit
admin,(false),routing,schedule,*
admin,(false),bridge,server,add
admin,(false),bridge,server,view
admin,(false),bridge,server,edit
admin,(false),bridge,server,delete
admin,(false),directory,*,*
admin,(false),routing,skill,*
admin,(false),voicemail,groupPolicy,view
admin,(false),voicemail,groupPolicy,edit
admin,(false),analytics,userAggregate,view
admin,(false),oauth,*,*
admin,(false),gdpr,*,*
admin,(false),widgets,deployment,*
admin,(false),attributes,attribute,add
admin,(false),attributes,attribute,view
admin,(false),attributes,attribute,edit
admin,(false),attributes,attribute,delete
admin,(false),integrations,integration,add
admin,(false),integrations,integration,view
admin,(false),integrations,integration,edit
admin,(false),integrations,integration,delete
admin,(false),bridge,pluginType,add
admin,(false),bridge,pluginType,edit
admin,(false),chat,file,delete
admin,(false),externalContacts,externalOrganization,*
admin,(false),wfm,adhocModel,add
admin,(false),wfm,adhocModel,view
admin,(false),conversation,settings,view
admin,(false),conversation,settings,edit
admin,(false),analytics,conversationDetail,view
admin,(false),wfm,adhocForecast,add
admin,(false),wfm,adhocForecast,view
admin,(false),cobrowse,deployment,manage
admin,(false),analytics,dataRetention,*
Genesys Cloud Voice Admin,(false),telephony,sites,view
Genesys Cloud Voice Admin,(false),purecloudvoice,number,add
Genesys Cloud Voice Admin,(false),purecloudvoice,number,view
Genesys Cloud Voice Admin,(false),purecloudvoice,number,edit
Genesys Cloud Voice Admin,(false),purecloudvoice,number,delete
integrationServer,(false),integration,unifiedCommunications,view
integrationServer,(false),directory,*,*
integrationServer,(false),directory,user,*
integrationServer,(false),integration,*,*
Communicate - Admin,(false),architect,systemPrompt,*
Communicate - Admin,(false),architect,ui,*
Communicate - Admin,(false),telephony,phone,assign
Communicate - Admin,(false),architect,flow,*
Communicate - Admin,(false),architect,userPrompt,*
Communicate - Admin,(false),architect,vxmlOperation,*
Communicate - Admin,(false),bridge,actions,view
Communicate - Admin,(false),architect,dependencyTracking,*
Embeddable Framework User,(false),integration,customEmbeddableFramework,*
Communicate - User,(false),voicemail,voicemail,receive
Communicate - User,(false),conversation,call,add
Communicate - User,(false),conversation,call,record
Communicate - User,(false),conversation,conference,add
Knowledge,(false),knowledge,*,*
Knowledge,(false),analytics,knowledgeAggregate,*
Knowledge,(false),uploads,*,*
External Contacts Read Only,(false),externalContacts,externalOrganization,view
External Contacts Read Only,(false),externalContacts,contact,view
Engage Supervisor,(false),analytics,queueObservation,view
Engage Supervisor,(false),coaching,appointment,add
Engage Supervisor,(false),coaching,appointment,view
Engage Supervisor,(false),reporting,interactions,view
Engage Supervisor,(false),ui,supervisorQueueDetails,view
Engage Supervisor,(false),conversation,conference,add
Engage Supervisor,(false),analytics,flowObservation,view
Engage Supervisor,(false),learning,module,view
Engage Supervisor,(false),conversation,webchat,accept
Engage Supervisor,(false),learning,assignment,*
Engage Supervisor,(false),mobile,supervisor,view
Engage Supervisor,(false),ui,supervisorStatusControl,view
Engage Supervisor,(false),analytics,userAggregate,view
Engage Supervisor,(false),routing,wrapupCode,view
Engage Supervisor,(false),analytics,tabConfigurations,*
Engage Supervisor,(false),conversation,communication,disconnect
Engage Supervisor,(false),conversation,communication,view
Engage Supervisor,(false),conversation,communication,transfer
Engage Supervisor,(false),conversation,communication,target
Engage Supervisor,(false),directory,user,view
Engage Supervisor,(false),analytics,dashboardConfigurations,*
Engage Supervisor,(false),conversation,call,add
Engage Supervisor,(false),conversation,call,barge
Engage Supervisor,(false),conversation,call,record
Engage Supervisor,(false),conversation,call,monitor
Engage Supervisor,(false),conversation,call,coach
Engage Supervisor,(false),conversation,call,accept
Engage Supervisor,(false),routing,queue,view
Engage Supervisor,(false),routing,queue,search
Engage Supervisor,(false),routing,queue,edit
Engage Supervisor,(false),routing,queue,join
Engage Supervisor,(false),coaching,scheduleSlot,view
Engage Supervisor,(false),ui,supervisorScheduledCallbacks,view
Engage Supervisor,(false),conversation,email,accept
Engage Supervisor,(false),ui,agentQueueActivity,view
Engage Supervisor,(false),routing,email,manage
Engage Supervisor,(false),analytics,userObservation,view
Engage Supervisor,(false),routing,predictorModel,view
Engage Supervisor,(false),reporting,acd,view
Engage Supervisor,(false),alerting,rule,add
Engage Supervisor,(false),alerting,rule,view
Engage Supervisor,(false),alerting,rule,edit
Engage Supervisor,(false),alerting,rule,delete
Engage Supervisor,(false),analytics,flowAggregate,view
Engage Supervisor,(false),routing,predictor,add
Engage Supervisor,(false),routing,predictor,view
Engage Supervisor,(false),routing,predictor,edit
Engage Supervisor,(false),routing,predictor,delete
Engage Supervisor,(false),reporting,status,view
Engage Supervisor,(false),voicemail,acdVoicemail,view
Engage Supervisor,(false),voicemail,acdVoicemail,delete
Engage Supervisor,(false),cobrowse,session,monitor
Engage Supervisor,(false),cobrowse,session,replay
Engage Supervisor,(false),conversation,webmessaging,view
Engage Supervisor,(false),conversation,webmessaging,accept
Engage Supervisor,(false),recording,recording,download
Engage Supervisor,(false),recording,recording,restore
Engage Supervisor,(false),recording,recording,editRetention
Engage Supervisor,(false),recording,recording,delete
Engage Supervisor,(false),ui,supervisorPerformance,view
Engage Supervisor,(false),analytics,conversationProperties,index
Engage Supervisor,(false),analytics,dataExport,add
Engage Supervisor,(false),analytics,dataExport,view
Engage Supervisor,(false),analytics,dataExport,edit
Engage Supervisor,(false),analytics,dataExport,publish
Engage Supervisor,(false),analytics,dataExport,delete
Engage Supervisor,(false),analytics,insightConfigurations,view
Engage Supervisor,(false),ui,supervisorAgentDetails,view
Engage Supervisor,(false),ui,supervisorDnisPerformance,view
Engage Supervisor,(false),alerting,alert,add
Engage Supervisor,(false),alerting,alert,view
Engage Supervisor,(false),alerting,alert,edit
Engage Supervisor,(false),alerting,alert,delete
Engage Supervisor,(false),conversation,message,view
Engage Supervisor,(false),conversation,message,accept
Engage Supervisor,(false),gamification,leaderboard,*
Engage Supervisor,(false),learning,scheduleSlot,view
Engage Supervisor,(false),analytics,dataRetention,view
Engage Supervisor,(false),externalContacts,conversation,associate
Engage Supervisor,(false),reporting,quality,view
Engage Supervisor,(false),routing,predictorModelFeature,view
Engage Supervisor,(false),analytics,viewConfigurations,*
Engage Supervisor,(false),routing,utilization,view
Engage Supervisor,(false),routing,utilization,manage
Engage Supervisor,(false),coaching,appointmentStatus,view
Engage Supervisor,(false),analytics,userDetail,view
Engage Supervisor,(false),routing,agent,onqueue
Engage Supervisor,(false),recording,recordingSegment,view
Engage Supervisor,(false),recording,annotation,add
Engage Supervisor,(false),recording,annotation,view
Engage Supervisor,(false),recording,annotation,edit
Engage Supervisor,(false),recording,annotation,delete
Engage Supervisor,(false),recording,recording,view
Engage Supervisor,(false),analytics,evaluationAggregate,view
Engage Supervisor,(false),gamification,scorecard,view
Engage Supervisor,(false),gamification,scorecard,viewAll
Engage Supervisor,(false),coaching,appointmentConversation,add
Engage Supervisor,(false),analytics,speechAndTextAnalyticsAggregates,view
Engage Supervisor,(false),reporting,outbound,view
Engage Supervisor,(false),routing,keyPerformanceIndicator,add
Engage Supervisor,(false),routing,keyPerformanceIndicator,view
Engage Supervisor,(false),routing,keyPerformanceIndicator,edit
Engage Supervisor,(false),routing,keyPerformanceIndicator,delete
Engage Supervisor,(false),ui,supervisorWrapUpPerformance,view
Engage Supervisor,(false),acdvideo,session,view
Engage Supervisor,(false),recording,encryptionKey,view
Engage Supervisor,(false),recording,encryptionKey,edit
Engage Supervisor,(false),ui,supervisorDashboard,view
Engage Supervisor,(false),analytics,conversationAggregate,view
Engage Supervisor,(false),analytics,conversationDetail,view
Engage Supervisor,(false),routing,skill,assign
Engage Supervisor,(false),conversation,participant,wrapup
employee,(false),video,video,access
employee,(false),presence,presenceDefinition,view
employee,(false),ui,myOrganization,view
employee,(false),documents,audit,view
employee,(false),directory,location,edit
employee,(false),integration,unifiedCommunications,view
employee,(false),chat,chat,access
